Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
2015-01-01,"27.3","23.9","32.5",0,0,25.461
2015-01-02,7.2,4.5,3.5,0,0,28.972
2015-01-03,4.2,2.4,9.9,0,1,30.814
2015-01-04,3.8,1.5,8.6,1.2,1,29.799
2015-01-05,"23.82",21,8.3,0,0,28.900
2015-01-06,3.8,0.1,0.5,2.2,0,28.218
2015-01-07,24,9.5,3.7,0,0,29.732
2015-01-08,4.9,9.5,2.8,8.6,0,28.397
2015-01-09,8.2,1.9,34,4.4,0,24.886
2015-01-10,6.6,2.1,4.2,0,1,37.937
2015-01-11,7.2,2.2,4.8,3.4,1,36.254
2015-01-12,5.6,1.4,5.4,0,0,25.743
2015-01-13,5.2,1.2,4.8,0.8,0,26.990
2015-01-14,5.6,1.3,34,1.6,0,31.825
2015-01-15,5.6,1.5,2.8,3,0,25.724
2015-01-16,6.5,2.3,2.7,2,0,29.938
2015-01-17,8.6,22,5.8,0,1,37.690
2015-01-18,8.6,3.4,5.6,0,1,30.524
2015-01-19,8.2,2.7,6.5,3.7,0,29.265
2015-01-20,7.8,3.3,5.6,0.6,0,35.127
2015-01-21,5.2,2.7,0.9,0,0,29.130
2015-01-22,1.4,9.2,6.1,31,0,25.795
2015-01-23,1.4,8.5,6.1,3.6,0,21.784
2015-01-24,3.2,19,9.4,13,1,28.348
2015-01-25,4.4,8.1,30,0,1,31.088
2015-01-26,2.4,8.9,8.7,0.8,0,21.520
2015-01-27,3.6,0.5,8.7,1.2,0,29.972
2015-01-28,5.8,0.1,9.9,4.9,0,22.603
2015-01-29,25,1.5,9.2,0,0,22.696
2015-01-30,2.8,0.9,6.9,0,0,26.845
2015-01-31,1.4,8.5,4.3,0.2,1,27.030
2015-02-01,4.6,0.6,28,0,1,32.057
2015-02-02,2.8,0.7,6.5,4.5,0,24.097
2015-02-03,3.6,18,1.1,1.6,0,31.655
2015-02-04,2.2,9.9,3.7,3.2,0,24.738
2015-02-05,0.8,9.1,2.9,5.6,0,19.950
2015-02-06,1.6,7.9,5.4,8.4,0,22.821
2015-02-07,1.6,7.3,8.7,6.7,1,28.893
2015-02-08,2.6,7.1,9.5,0.4,1,29.926
2015-02-09,24,9.3,0.7,0,0,24.062
2015-02-10,3.2,0.1,29,2.2,0,21.137
2015-02-11,5.8,9.9,0.4,2.2,0,26.805
2015-02-12,7.6,3.1,2.7,0,0,26.389
2015-02-13,5.4,2.5,2.1,0,0,24.219
2015-02-14,4.2,1.1,1.6,0,1,30.231
2015-02-15,2.9,20,7.6,7.4,1,24.968
2015-02-16,1.6,8.8,7.3,2.7,0,25.343
2015-02-17,2.6,9.7,28,5.3,0,17.399
2015-02-18,2.2,9.9,6.4,3.4,0,21.392
2015-02-19,3.2,9.9,8.5,2.4,0,22.922
2015-02-20,4.2,1.7,8.2,0,0,24.567
2015-02-21,5.2,1.4,1.1,0,1,30.943
2015-02-22,4.4,0.4,0.8,0,1,30.825
2015-02-23,5.4,0.7,1.4,0,0,25.692
2015-02-24,4.3,0.5,1.9,0,0,26.959
2015-02-25,2.4,9.3,9.3,2,0,25.366
2015-02-26,4.1,9.2,0.3,4.4,0,22.784
2015-02-27,4.4,0.4,1.4,0.6,0,26.241
2015-02-28,2.4,9.7,7.7,0,1,26.467
2015-03-01,1.6,8.2,6.3,3,1,27.475
2015-03-02,2.6,7.2,9.2,0,0,28.749
2015-03-03,3.6,9.5,9.5,0,0,24.146
2015-03-04,3.8,8.9,0.5,0,0,22.988
2015-03-05,4.2,9.7,1.6,0,0,30.300
2015-03-06,2.6,9.4,8.5,0,0,22.654
2015-03-07,1.2,9.4,6.6,8.2,1,29.090
2015-03-08,2.2,9.7,4.4,9.2,1,24.619
2015-03-09,1.6,9.7,3.3,77,0,20.016
2015-03-10,3.2,1.2,6.9,9.7,0,23.042
2015-03-11,2.8,0.1,8.1,9.5,0,22.933
2015-03-12,2.6,9.2,6.9,1.2,0,22.409
2015-03-13,2.4,20,6.6,0,0,21.281
2015-03-14,2.8,9.9,7.9,2.2,1,28.844
2015-03-15,2.8,9.1,6.8,0.3,1,32.872
2015-03-16,1.2,8.6,9.4,2.4,0,20.903
2015-03-17,1.2,8.6,5.6,4.2,0,26.275
2015-03-18,1.4,9.7,4.1,0,0,20.167
2015-03-19,1.8,9.2,7.1,3.2,0,23.628
2015-03-20,1.4,8.9,8.2,7.4,0,24.213
2015-03-21,0.8,8.5,5.3,4.7,1,28.631
2015-03-22,9.7,8.1,2.8,1.7,1,25.855
2015-03-23,9.8,7.1,3.3,9.2,0,21.406
2015-03-24,0.8,7.4,6.3,0,0,21.617
2015-03-25,1.6,7.1,7.9,0,0,22.401
2015-03-26,2.8,8.3,9.8,0,0,27.989
2015-03-27,3.2,18,0.8,0,0,24.974
2015-03-28,3.8,9.1,9.5,0,1,29.760
2015-03-29,2.4,0.5,6.6,0,1,26.116
2015-03-30,2.5,19,5.9,8.6,0,25.850
2015-03-31,3.4,0.1,29,1,0,24.925
2015-04-01,2.2,9.2,7.5,0,0,21.979
2015-04-02,0.2,8.2,6.2,0,0,22.116
2015-04-03,1.2,6.3,7.2,0,0,24.867
2015-04-04,2.6,7.9,9.4,0,1,33.450
2015-04-05,2.2,0.1,6.4,0,1,32.713
2015-04-06,1.6,8.5,7.7,0,0,22.356
2015-04-07,7.8,6.1,20,7.1,0,21.004
2015-04-08,8.8,4.7,4.3,0.4,0,23.362
2015-04-09,9.4,5.9,5.6,0,0,20.298
2015-04-10,0.6,17,5.5,0,0,24.862
2015-04-11,1.4,7.2,8.4,0,1,30.505
2015-04-12,9.2,6.8,5.7,0,1,25.070
2015-04-13,0.8,8.1,5.7,0,0,22.620
2015-04-14,1.7,8.4,8.8,0,0,22.001
2015-04-15,1.4,8.5,7.4,0,0,23.469
2015-04-16,1.6,8.6,6.7,5.4,0,21.735
2015-04-17,1.2,8.4,27,7.2,0,21.593
2015-04-18,3.6,8.2,9.3,0,1,33.822
2015-04-19,2.5,0.3,7.2,0,1,28.028
2015-04-20,24,9.3,9.2,0.2,0,24.304
2015-04-21,2.2,9.3,29,0,0,31.108
2015-04-22,0.6,8.9,1.6,2.4,0,19.113
2015-04-23,1.2,8.6,4.9,4.6,0,23.198
2015-04-24,2.2,9.3,8.1,0,0,24.388
2015-04-25,9.8,7.4,3.3,0,1,27.420
2015-04-26,9.4,6.1,3.7,0.8,1,30.479
2015-04-27,9.2,7.5,4.9,0,0,21.838
2015-04-28,0.6,7.2,6.9,0,0,20.812
2015-04-29,8.6,6.8,2.7,0,0,19.761
2015-04-30,6.2,4.7,8.7,0,0,20.452
2015-05-01,7.4,3.4,22,0,0,17.939
2015-05-02,9.6,4.7,6.4,0,1,25.272
2015-05-03,1.4,5.8,6.3,0,1,28.049
2015-05-04,9.6,7.9,2.3,1,0,25.317
2015-05-05,8.4,6.6,0.8,9.9,0,21.826
2015-05-06,7.6,5.9,0.4,0,0,20.680
2015-05-07,7.8,5.8,1.7,0,0,19.143
2015-05-08,6.4,3.9,9.2,0,0,18.146
